Ticks,GreenPatches,K,TotalBM,k.i,Payoffs,beta.i,highMinCut,lowMinCut
1520,1307,10.13,15278,15.59,9.885,0.607135107824684,71,23
1521,1294,10.13,14907.5,15.62,8.71,0.604115387101371,71,23
1522,1259,10.13,14491.5,15.52,9.17,0.604115387101371,70,24
1523,1259,10.13,14452.5,15.45,5.38,0.603690213357184,70,24
1524,1281,10.13,14480,15.64,5.16,0.606800575710675,72,22
1525,1296,10.13,14472,15.62,6.54,0.606375401966488,72,23
1526,1278,10.13,14216,15.63,8.66,0.606375401966488,72,22
1527,1234,10.13,14023.5,15.52,7.875,0.606375401966488,71,22
1528,1233,10.13,13939,15.4,6.525,0.606320691355707,70,23
1529,1219,10.13,13760.5,15.29,6.065,0.603210329002216,70,24
